year_fraction;earnings;earnings_fitted;earnings_fitted_infl
74.25;14941.25;15593.48297;30308.79547
74.33;14933.88889;15574.54181;30312.45848
74.42;14926.52778;15555.8057;30316.32653
74.5;14919.16667;15537.276;30320.401
74.58;14911.80556;15518.95405;30324.68322
74.67;14904.44444;15500.84122;30329.17455
74.75;14897.08333;15482.93884;30333.87634
74.83;14889.72222;15465.24827;30338.78994
74.92;14882.36111;15447.77087;30343.9167
75;14875;15430.50797;30349.25797
75.08;14875.27778;15413.46094;30354.81511
75.17;14875.55556;15396.63112;30360.58946
75.25;14875.83333;15380.01987;30366.58237
75.33;14876.11111;15363.62853;30372.7952
75.42;14876.38889;15347.45846;30379.22929
75.5;14876.66667;15331.511;30385.886
75.58;14876.94444;15315.78751;30392.76668
75.67;14877.22222;15300.28934;30399.87267
75.75;14877.5;15285.01784;30407.20534
75.83;14877.77778;15269.97436;30414.76602
75.92;14878.05556;15255.16025;30422.55608
76;14878.33333;15240.57686;30430.57686
76.08;14878.61111;15226.22554;30438.82971
76.17;14878.88889;15212.10765;30447.31598
76.25;14879.16667;15198.22453;30456.03703
76.33;14879.44445;15184.57753;30464.9942
76.42;14879.72222;15171.16801;30474.18885
76.5;14880;15157.99732;30483.62232
76.58;14880.27778;15145.06681;30493.29597
76.67;14880.55556;15132.37782;30503.21115
76.75;14880.83333;15119.93171;30513.36921
76.83;14881.11111;15107.72984;30523.7715
76.92;14881.38889;15095.77354;30534.41937
77;14881.66667;15084.06417;30545.31417
77.08;14881.94445;15072.60309;30556.45726
77.17;14882.22222;15061.39164;30567.84998
77.25;14882.5;15050.43118;30579.49368
77.33;14882.77778;15039.72304;30591.38971
77.42;14883.05556;15029.2686;30603.53943
77.5;14883.33334;15019.06919;30615.94419
77.58;14883.61111;15009.12617;30628.60534
77.67;14883.88889;14999.44089;30641.52422
77.75;14884.16667;14990.01469;30654.70219
77.83;14884.44445;14980.84894;30668.1406
77.92;14884.72222;14971.94497;30681.84081
78;14885;14963.30415;30695.80415
78.08;14885.27778;14954.92782;30710.03199
78.17;14885.55556;14946.81733;30724.52567
78.25;14885.83334;14938.97404;30739.28654
78.33;14886.11111;14931.39929;30754.31596
78.42;14886.38889;14924.09444;30769.61527
78.5;14886.66667;14917.06083;30785.18583
78.58;14886.94445;14910.29982;30801.02899
78.67;14887.22222;14903.81276;30817.1461
78.75;14887.5;14897.601;30833.5385
78.83;14887.77778;14891.66589;30850.20755
78.92;14888.05556;14886.00877;30867.15461
79;14888.33334;14880.63101;30884.38101
79.08;14888.61111;14875.53396;30901.88812
79.17;14888.88889;14870.71895;30919.67728
79.25;14889.16667;14866.18735;30937.74985
79.33;14889.44445;14861.9405;30956.10717
79.42;14889.72223;14857.97976;30974.75059
79.5;14890;14854.30647;30993.68147
79.58;14890.27778;14850.92199;31012.90116
79.67;14890.55556;14847.82767;31032.41101
79.75;14890.83334;14845.02486;31052.21236
79.83;14891.11111;14842.51491;31072.30658
79.92;14891.38889;14840.29917;31092.695
80;14891.66667;14838.37899;31113.37899
